,hex_index,nighttime_business_proportion,nighttime_business_mode,poi_diversity
141,882664c81dfffff,0.25,0.0,0.8268777096278767
142,882664c839fffff,0.3684210526315789,0.0,0.8084726448819843
143,882664c83bfffff,0.1428571428571428,0.0,0.7609120413014449
144,882664c841fffff,0.1818181818181818,0.0,0.8073046742372285
145,882664c843fffff,0.4473684210526316,0.0,0.7618218088887487
146,882664c845fffff,0.2058823529411764,0.0,0.8596573035993225
147,882664c847fffff,0.3636363636363636,0.0,0.7078316580309506
148,882664c849fffff,0.2115384615384615,0.0,0.8106439836269553
149,882664c84bfffff,0.2241379310344827,0.0,0.7930750573119437
150,882664c84dfffff,0.25,0.0,0.8092955475225159
151,882664c851fffff,0.2083333333333333,0.0,0.8163517526646297
152,882664c853fffff,0.0,0.0,0.6983666036800046
153,882664c855fffff,0.1428571428571428,0.0,0.8069016592972279
154,882664c857fffff,0.4761904761904761,0.0,0.7796513426411569
155,882664c859fffff,0.2391304347826087,0.0,0.8207835375712972
156,882664c85bfffff,0.44,0.0,0.8132547330390278
157,882664c85dfffff,0.25,0.0,0.7589918569966096
158,882664c869fffff,0.16,0.0,0.8244196116511837
159,882664c86dfffff,0.5714285714285714,1.0,0.6469224656235965
160,882664c881fffff,0.238095238095238,0.0,0.785010129937094
161,882664c883fffff,0.4347826086956521,0.0,0.8205746375583954
162,882664c889fffff,0.2207792207792207,0.0,0.7855719271273437
163,882664c88bfffff,0.1923076923076923,0.0,0.7876177704240745
164,882664c891fffff,0.0,0.0,0.7168092992438272
165,882664c893fffff,0.1153846153846153,0.0,0.7179346647827487
166,882664c895fffff,0.0,0.0,0.6327134640586481
167,882664c897fffff,0.3333333333333333,0.0,0.4732962838878538
168,882664c899fffff,0.375,0.0,0.6621174039087041
169,882664c89bfffff,0.24,0.0,0.7760738161040026
170,882664c89dfffff,0.2,0.0,0.7445297741136097
171,882664c8b3fffff,0.2,0.0,0.6710860205726961
172,882664c8bbfffff,0.1428571428571428,0.0,0.7218819416141337
173,882664c8c1fffff,0.2352941176470588,0.0,0.7706311975649628
174,882664c8c3fffff,0.25,0.0,0.6631174426363058
175,882664c8c7fffff,0.25,0.0,0.7797519684386953
