hex_index,polygon
88266452dbfffff,"POLYGON ((-87.70409192067129 41.751843429083884, -87.71011062264814 41.75003854856376, -87.71074917147602 41.745394426048264, -87.70537016653196 41.74255524022448, -87.69935218235355 41.74435966478091, -87.6987124853526 41.749003731072456, -87.70409192067129 41.751843429083884))"
882664cb13fffff,"POLYGON ((-87.77252231031844 41.927469574751676, -87.77856021465004 41.92565612997741, -87.77919418687532 41.92100206640927, -87.77379141195304 41.91816150220074, -87.7677542285731 41.91997448884959, -87.76711909919545 41.92462849777973, -87.77252231031844 41.927469574751676))"
882664d9b9fffff,"POLYGON ((-87.75344134916845 41.98231120666587, -87.75948746872166 41.980497117660775, -87.76012414941576 41.97583995382813, -87.75471587043289 41.972996933976624, -87.74867047419593 41.97481056469056, -87.74803263365756 41.979467673494426, -87.75344134916845 41.98231120666587))"
882664c843fffff,"POLYGON ((-87.75154968964273 41.911450565950204, -87.75758663857289 41.90963864059851, -87.75822253737506 41.90498547616835, -87.7528226435622 41.90214429214331, -87.74678641579551 41.903955759751774, -87.74614936071005 41.908608869075906, -87.75154968964273 41.911450565950204))"
882664cc11fffff,"POLYGON ((-87.59761132098772 41.77035135004354, -87.60363817008557 41.768551251676, -87.60428783775859 41.76390605834623, -87.59891180510382 41.76106102187412, -87.5928856779611 41.76286066548401, -87.59223486155074 41.76750580027131, -87.59761132098772 41.77035135004354))"
882664cc21fffff,"POLYGON ((-87.64796280959135 41.78201326166182, -87.65398846797963 41.780210303957276, -87.65463316101786 41.77556445396906, -87.64925334518728 41.772721619069465, -87.64322840742489 41.77452412129373, -87.64258256489953 41.779169913845465, -87.64796280959135 41.78201326166182))"
882664c857fffff,"POLYGON ((-87.74202463123235 41.89646134094527, -87.74806013790801 41.894650330964666, -87.74869680501348 41.88999801158316, -87.74329912097778 41.88715675745201, -87.73726433532063 41.88896730992013, -87.73662651271255 41.89361957397928, -87.74202463123235 41.89646134094527))"
882664ca9bfffff,"POLYGON ((-87.65249626556317 41.87422311437862, -87.6585337114088 41.87241724062063, -87.6591792268875 41.86776616087398, -87.65378845065045 41.86492101212752, -87.64775172815817 41.86672642966632, -87.6471050585821 41.87137745211824, -87.65249626556317 41.87422311437862))"
882664561dfffff,"POLYGON ((-87.61595940527997 41.68033779584536, -87.62197355663017 41.67853940834205, -87.62262009473577 41.673899345131154, -87.61725362586272 41.671057727553155, -87.61124019305029 41.672855660733106, -87.61059251060549 41.677495665762216, -87.61595940527997 41.68033779584536))"
882664cd19fffff,"POLYGON ((-87.67077614744612 41.78409181016894, -87.67680084649696 41.782287650768616, -87.67744324029213 41.777641686657056, -87.67206208473486 41.77479993883013, -87.6660381056066 41.77660364244706, -87.6653945621452 41.781249549621904, -87.67077614744612 41.78409181016894))"
882664ca45fffff,"POLYGON ((-87.72099796329803 41.96524707574558, -87.72704360937263 41.963435113215276, -87.72768337888704 41.95877890329266, -87.7222786612413 41.955934711597074, -87.71623373905118 41.95774621637109, -87.71559281065448 41.962402370544254, -87.72099796329803 41.96524707574558))"
882664d887fffff,"POLYGON ((-87.67801755520846 41.98258108301612, -87.68406780268444 41.98077077542468, -87.68471221735028 41.976113579950535, -87.67930754418414 41.97326674869964, -87.67325802259727 41.9750765989497, -87.67261244831995 41.97973373773929, -87.67801755520846 41.98258108301612))"
882664c8bbfffff,"POLYGON ((-87.72873728987865 41.82464045580273, -87.73476414163791 41.822832211617865, -87.73540117813936 41.81818395798185, -87.73001251478694 41.81534400412741, -87.7239863822573 41.817151791498894, -87.72334819388227 41.82179998948571, -87.72873728987865 41.82464045580273))"
882664cd0dfffff,"POLYGON ((-87.70307804569742 41.8011413450424, -87.70910322208958 41.799335071787645, -87.70974255479034 41.79468814584442, -87.70435786175113 41.79184754932562, -87.69833340472354 41.793653366263875, -87.69769292140253 41.798300235984975, -87.70307804569742 41.8011413450424))"
882664c81dfffff,"POLYGON ((-87.74869680501348 41.88999801158316, -87.75473110530812 41.88818685628207, -87.75536700094467 41.883534904450975, -87.74996975151898 41.88069416304776, -87.74393617181492 41.88250486080029, -87.74329912097778 41.88715675745201, -87.74869680501348 41.88999801158316))"
882664c167fffff,"POLYGON ((-87.66568166120314 41.94610148619322, -87.67172779689797 41.944292858953425, -87.67237296636482 41.939637718554806, -87.66697315790843 41.93679126231566, -87.6609277473747 41.93859943263908, -87.66028142016877 41.94325451606534, -87.66568166120314 41.94610148619322))"
882664cf3dfffff,"POLYGON ((-87.66498297715067 41.82591830208219, -87.67101344188613 41.82411321096912, -87.67165700824542 41.81946487070313, -87.66627126163053 41.81662167854151, -87.6602415183168 41.818426313634696, -87.65959680022851 41.823074596856905, -87.66498297715067 41.82591830208219))"
