hex_index,polygon
882a134f47fffff,"POLYGON ((-75.10032008887254 39.98671587374248, -75.10657603604702 39.98560990673649, -75.10840610792944 39.98117349689377, -75.10398113860222 39.97784336180502, -75.09772616669751 39.97894908928415, -75.09589518895244 39.983385191346905, -75.10032008887254 39.98671587374248))"
882a134035fffff,"POLYGON ((-75.01677389259893 40.03435531777462, -75.02303782433442 40.033253264140335, -75.02487750561161 40.02881554160069, -75.02045416112716 40.02548018215742, -75.01419120801054 40.02658199771895, -75.01235062086236 40.03101941076468, -75.01677389259893 40.03435531777462))"
882a134131fffff,"POLYGON ((-75.08091910396743 40.04774307922642, -75.08718352434192 40.046637383009184, -75.08901776370026 40.04219780724682, -75.08458849056947 40.038864236094376, -75.07832504830797 40.039969692952354, -75.07648990116691 40.04440896029005, -75.08091910396743 40.04774307922642))"
882a134d13fffff,"POLYGON ((-75.14388593908349 39.9091143640643, -75.15013075078305 39.90800704226021, -75.15195378301406 39.90357435564602, -75.14753290748214 39.90024929743007, -75.14128906713692 39.9013563791323, -75.13946513107076 39.905788759120306, -75.14388593908349 39.9091143640643))"
882a134a93fffff,"POLYGON ((-75.10551050130724 40.0022516575914, -75.1117683998538 40.00114521130198, -75.1135985906936 39.99670782362916, -75.10917178965983 39.99337718997839, -75.10291486693811 39.9944833965878, -75.10108376952758 39.998920476495975, -75.10551050130724 40.0022516575914))"
882a1349dbfffff,"POLYGON ((-75.21526392149516 40.00336782310977, -75.2215197366141 40.00225543024971, -75.22333976744511 39.99781613555037, -75.21890489224472 39.99448953950165, -75.21265005116801 39.99560169056022, -75.21082911135123 40.00004067943673, -75.21526392149516 40.00336782310977))"
882a13495bfffff,"POLYGON ((-75.23358518218096 40.057751348496964, -75.2398478233373 40.056637260863155, -75.24166824246664 40.052194545192016, -75.23722693201695 40.04886622288465, -75.23096526683904 40.04998006817594, -75.22914393623446 40.05442247808472, -75.23358518218096 40.057751348496964))"
882a134853fffff,"POLYGON ((-75.1667696688564 40.03667411814737, -75.17303088400391 40.035563917395095, -75.17485670984061 40.03112352752296, -75.17042222985194 40.02779364521824, -75.16416199093145 40.028903604989964, -75.16233525587485 40.03334368801479, -75.1667696688564 40.03667411814737))"
882aacb2a3fffff,"POLYGON ((-75.2455838440053 39.88692526232018, -75.25182365649925 39.88581274847277, -75.25363640050679 39.88137964061728, -75.249210237292 39.87805935129217, -75.24297139355079 39.879171623157816, -75.24115774437252 39.8836044262981, -75.2455838440053 39.88692526232018))"
882a134151fffff,"POLYGON ((-75.03780894613575 40.067689584104045, -75.04407687737363 40.06658596966077, -75.04591590044237 40.06214598492788, -75.04148789998561 40.058809923893094, -75.03522094840069 40.05991329974401, -75.03338101772256 40.06435297519014, -75.03780894613575 40.067689584104045))"
882a134841fffff,"POLYGON ((-75.18530017334356 40.06221002039532, -75.19156439471223 40.061098488368415, -75.19338948192564 40.056656326489225, -75.18895125847679 40.05332600324773, -75.18268801408065 40.054437293848686, -75.18086201626315 40.05887914908481, -75.18530017334356 40.06221002039532))"
882a134897fffff,"POLYGON ((-75.17276782534087 39.96565899878714, -75.17901952034393 39.964549388876016, -75.1808420495094 39.960112968805, -75.17641379039546 39.956786465005536, -75.17016306859135 39.95789583406417, -75.16833963280395 39.96233194774262, -75.17276782534087 39.96565899878714))"
882a134337fffff,"POLYGON ((-75.0322879352154 40.08101074104574, -75.03855774453505 40.07990725737399, -75.04039779951265 40.0754666059345, -75.03596895327439 40.07212974758525, -75.02970012425155 40.07323299272671, -75.02785916127326 40.07767333471579, -75.0322879352154 40.08101074104574))"
882a134143fffff,"POLYGON ((-75.05109654698569 40.077699312436856, -75.05736553985186 40.076594851274294, -75.05920371646432 40.072154069412804, -75.05477380859774 40.06881805778282, -75.04850579557984 40.06992228006192, -75.04666671068325 40.0743627528225, -75.05109654698569 40.077699312436856))"
882a1348e1fffff,"POLYGON ((-75.19649482539602 40.006703059514436, -75.20275146575507 40.00559163779401, -75.20457337063336 40.00115246596252, -75.20013954396391 39.997825021991794, -75.1938838780985 39.99893620226106, -75.19206106451082 40.003375067919976, -75.19649482539602 40.006703059514436))"
882a13422dfffff,"POLYGON ((-74.96772762180099 40.0964680312472, -74.97400077034972 40.09536785375591, -74.97584743236352 40.09092742094652, -74.97142185311273 40.087587476266066, -74.96514968656743 40.088687416427, -74.96330211737299 40.093127538566954, -74.96772762180099 40.0964680312472))"
882a13411bfffff,"POLYGON ((-75.04073867731732 40.0465956073019, -75.04700375246773 40.045492101214734, -75.04884168278738 40.041053271894484, -75.04441544492283 40.03771825776, -75.03815134850285 40.038821525269235, -75.03631251131984 40.04326004545894, -75.04073867731732 40.0465956073019))"
882a134805fffff,"POLYGON ((-75.20956249262534 40.04554838595565, -75.21582400960361 40.04443575582233, -75.217646195394 40.03999414035316, -75.2132077747946 40.03666546111526, -75.20694723369397 40.037777849411604, -75.2051241374172 40.04221915875054, -75.20956249262534 40.04554838595565))"
882a134a3bfffff,"POLYGON ((-75.14510277615548 40.061098217067425, -75.15136766890707 40.05998887540767, -75.15319645488972 40.05554745285062, -75.1487612579138 40.052215679272976, -75.14249734276049 40.0533247802871, -75.14066764708728 40.05776589549232, -75.14510277615548 40.061098217067425))"
882a134f29fffff,"POLYGON ((-75.12717044236125 39.977853526452016, -75.13342467490452 39.97674622217416, -75.13525191019382 39.972309868148756, -75.13082581914638 39.96898112562993, -75.12457256106232 39.97008818989288, -75.1227444196685 39.97452423665752, -75.12717044236125 39.977853526452016))"
882a1348c3fffff,"POLYGON ((-75.16442702694242 40.00004881208842, -75.17068344029798 39.9989392093113, -75.17250807035677 39.994500956534466, -75.16807719492343 39.99117261321185, -75.16182175632242 39.99228197517919, -75.15999621850217 39.99671992124676, -75.16442702694242 40.00004881208842))"
882aacb2e1fffff,"POLYGON ((-75.23469654403827 39.913528398284896, -75.24094008905327 39.912416123865526, -75.24275486305903 39.907981665326446, -75.23832699810677 39.90465978621303, -75.23208442311633 39.90577181876758, -75.23026874315475 39.910205972268145, -75.23469654403827 39.913528398284896))"
882a134a17fffff,"POLYGON ((-75.13440283193451 40.058874629380895, -75.14066764708728 40.05776589549232, -75.14249734276049 40.0533247802871, -75.1380631327563 40.049992706469155, -75.1317992952882 40.05110119992647, -75.12996869024212 40.05554200760084, -75.13440283193451 40.058874629380895))"
