hex_index,polygon
882aa8c0d1fffff,"POLYGON ((-76.63484990538755 39.28483598595663, -76.64098035771991 39.28365816342301, -76.64264219272359 39.27923869897577, -76.63817448570872 39.27599733399507, -76.63204495389536 39.27717489068175, -76.6303822086689 39.28159407816138, -76.63484990538755 39.28483598595663))"
882aa8c227fffff,"POLYGON ((-76.66576420324434 39.36915605806139, -76.67190479751237 39.36797530571368, -76.67356671036083 39.36355037698752, -76.66908894308054 39.36030647735194, -76.66294927203744 39.36148696293591, -76.66128644514106 39.36591161488439, -76.66576420324434 39.36915605806139))"
882aa8c015fffff,"POLYGON ((-76.67790080950535 39.32167583995212, -76.68403498139624 39.32049518476623, -76.68569410944623 39.3160729027074, -76.68121997815112 39.31283155214757, -76.67508672742095 39.31401194054175, -76.67342668691622 39.31843394625263, -76.67790080950535 39.32167583995212))"
882aa8c461fffff,"POLYGON ((-76.58627513217372 39.232683029677084, -76.59240002269281 39.231508562777314, -76.59406453425558 39.22709291425115, -76.58960506269392 39.22385201020719, -76.58348109155769 39.22502621236896, -76.5818156726912 39.22944158327815, -76.58627513217372 39.232683029677084))"
882aa8c2e1fffff,"POLYGON ((-76.62548648139806 39.33995506745526, -76.63162426908518 39.3387768855086, -76.63328889994672 39.33435427721832, -76.62881665536925 39.33111012822134, -76.6226797905085 39.332288044267194, -76.62101424749024 39.33671037517614, -76.62548648139806 39.33995506745526))"
882aa8c0c9fffff,"POLYGON ((-76.6432701922795 39.307823641234464, -76.64940340764271 39.30664502066067, -76.65106526495647 39.3022240650937, -76.64659481826199 39.29898200698212, -76.64046252415478 39.300160361459255, -76.6387997555772 39.30458104010993, -76.6432701922795 39.307823641234464))"
882aa8c203fffff,"POLYGON ((-76.6261049526704 39.368563472337264, -76.63224642114878 39.367384816775754, -76.63391199642595 39.362960499875044, -76.62943701658355 39.359715115997574, -76.62329647203178 39.36089350552953, -76.62162998348735 39.365317544933745, -76.6261049526704 39.368563472337264))"
882aa8d5ebfffff,"POLYGON ((-76.54063275807245 39.32339301541727, -76.54677042590365 39.32221955186057, -76.54844234611126 39.31779916775737, -76.54397750847525 39.31455252602411, -76.53784076436799 39.315725725314174, -76.5361679342645 39.320145830569615, -76.54063275807245 39.32339301541727))"
882aa8c207fffff,"POLYGON ((-76.63672231697592 39.370630430875046, -76.64286379843507 39.369451184492284, -76.64452846016242 39.365026590279, -76.64005255407196 39.36178151972627, -76.63391199642595 39.362960499875044, -76.63224642114878 39.367384816775754, -76.63672231697592 39.370630430875046))"
882aa8d529fffff,"POLYGON ((-76.57583243213962 39.365885991926746, -76.58197475380237 39.36471002450463, -76.58364490217032 39.360286600521384, -76.57917364116807 39.357039422323744, -76.57303224424327 39.35821512465568, -76.57136118367453 39.3626382702408, -76.57583243213962 39.365885991926746))"
882aa8c753fffff,"POLYGON ((-76.55789052591159 39.26270305673457, -76.56401995659812 39.26152961722096, -76.56568814721429 39.257112592691556, -76.56122781514202 39.253869285905914, -76.555099305513 39.255042461081835, -76.55343020698999 39.25945920734659, -76.55789052591159 39.26270305673457))"
882aa8d539fffff,"POLYGON ((-76.55962308565609 39.348472573519864, -76.56576354233862 39.34729772646021, -76.56743458295739 39.342875573786216, -76.5629660782069 39.33962854675229, -76.5568265458792 39.3408031290923, -76.55515459403894 39.3452250031513, -76.55962308565609 39.348472573519864))"
882aa8c0a1fffff,"POLYGON ((-76.6928273614118 39.28188408008762, -76.69895604311698 39.28070325911802, -76.70061239973008 39.27628313094716, -76.69614098594103 39.27304409961259, -76.69001322358362 39.2742246536802, -76.68835595575825 39.27864450594957, -76.6928273614118 39.28188408008762))"
882aa8c2b3fffff,"POLYGON ((-76.6192598524776 39.29603025145427, -76.6253921205712 39.29485307482684, -76.62705579209 39.29043317027849, -76.62258810596038 39.28719071962304, -76.61645675910286 39.2883676306448, -76.61479217723004 39.29278725789303, -76.6192598524776 39.29603025145427))"
882aa8c729fffff,"POLYGON ((-76.61085328507517 39.27304457517921, -76.61698279019814 39.27186819511948, -76.61864643705718 39.267449782007496, -76.6141814881984 39.26420802627141, -76.60805290357406 39.26538414097476, -76.60638834740095 39.26980227673595, -76.61085328507517 39.27304457517921))"
882aa8c749fffff,"POLYGON ((-76.56906441803815 39.29335273988656, -76.57519753541837 39.292178242193934, -76.57686576566655 39.287759228890735, -76.57240178791784 39.284514991444276, -76.56626959258077 39.28568922446786, -76.56460045304068 39.290107959572396, -76.56906441803815 39.29335273988656))"
882aa8c2b9fffff,"POLYGON ((-76.61426515423844 39.309291340738575, -76.62039925209868 39.30811422189583, -76.6220638506588 39.303693600680134, -76.61759526221648 39.30045037572201, -76.61146208619712 39.301627228996715, -76.60979657687047 39.30604757276293, -76.61426515423844 39.309291340738575))"
882aa8c089fffff,"POLYGON ((-76.65604898546276 39.28896263278588, -76.66217946249539 39.28778363298598, -76.66383947621084 39.283363615153505, -76.65936992376915 39.28012287368715, -76.65324036702923 39.28130160723269, -76.65157944252925 39.28572134846425, -76.65604898546276 39.28896263278588))"
882aa8c009fffff,"POLYGON ((-76.67573471418963 39.3426101806396, -76.68187164014599 39.341429314724735, -76.68353169979508 39.33700581885915, -76.67905574679648 39.333763465353066, -76.6729197428521 39.33494406442975, -76.67125876998553 39.33936728381588, -76.67573471418963 39.3426101806396))"
882aa8c2c5fffff,"POLYGON ((-76.60707132612133 39.343487784658926, -76.61321000979703 39.34231051708605, -76.61487647323702 39.33788796711898, -76.61040516503289 39.334642962421626, -76.60426740465614 39.335819964419, -76.60260002927608 39.34024223665455, -76.60707132612133 39.343487784658926))"
882aa8c2c1fffff,"POLYGON ((-76.59646135980661 39.3414189141361, -76.60260002927608 39.34024223665455, -76.60426740465614 39.335819964419, -76.59979702231583 39.3325746475454, -76.59365927625798 39.33375105965575, -76.59199098922035 39.338173053976256, -76.59646135980661 39.3414189141361))"
882aa8c727fffff,"POLYGON ((-76.62643776457156 39.26185488621489, -76.63256545608338 39.26067786097258, -76.6342272679709 39.25625988828792, -76.62976229762091 39.253019217829475, -76.62363552589181 39.25419597747431, -76.62197280482094 39.25861367314043, -76.62643776457156 39.26185488621489))"
882aa8c2b7fffff,"POLYGON ((-76.62986071979455 39.29809575681297, -76.63599300111571 39.2969179912897, -76.63765576199913 39.292497809624535, -76.63318715228787 39.28925567056476, -76.62705579209 39.29043317027849, -76.6253921205712 39.29485307482684, -76.62986071979455 39.29809575681297))"
882aa8c08bfffff,"POLYGON ((-76.65324036702923 39.28130160723269, -76.65936992376915 39.28012287368715, -76.66102993056225 39.27570335300326, -76.65656129114404 39.27246284244834, -76.65043265445155 39.27364130982283, -76.64877173722077 39.278060553888594, -76.65324036702923 39.28130160723269))"
